winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
purple,7528.0,25.093333333333334,26.0,,,272.0,2.0
red,6754.0,22.513333333333332,,298.0,,2.0,
yellow,7593.0,25.31,1.0,96.0,,2.0,201.0
green,8867.0,29.556666666666665,153.0,141.0,1.0,,5.0
purple,5284.0,17.613333333333333,,,,300.0,
yellow,350.0,1.1666666666666667,,,,,300.0
blue,8627.0,28.756666666666668,3.0,10.0,266.0,19.0,2.0
yellow,3117.0,10.39,,,33.0,,267.0
green,3029.0,10.096666666666666,241.0,,,59.0,
yellow,7728.0,25.759999999999998,89.0,33.0,,22.0,156.0
purple,8744.0,29.146666666666665,21.0,,,194.0,85.0
blue,7657.0,25.52333333333333,,73.0,226.0,1.0,
purple,7049.0,23.496666666666666,,145.0,,155.0,
yellow,7152.0,23.84,27.0,7.0,,2.0,264.0
yellow,7001.0,23.336666666666666,,53.0,22.0,,225.0
red,2009.0,6.696666666666666,,300.0,,,
green,8830.0,29.433333333333334,175.0,55.0,1.0,,69.0
green,10233.0,34.11,260.0,13.0,23.0,4.0,
yellow,6236.0,20.78666666666667,,,139.0,,161.0
green,6055.0,20.183333333333334,184.0,,,3.0,113.0
red,7470.0,24.9,24.0,234.0,,36.0,6.0
green,7359.0,24.529999999999998,197.0,1.0,102.0,,
yellow,4358.0,14.526666666666666,14.0,,4.0,,282.0
yellow,3458.0,11.526666666666667,1.0,,,,299.0
green,9049.0,30.16333333333333,291.0,,8.0,,1.0
purple,8514.0,28.38,3.0,14.0,,214.0,69.0
green,9246.0,30.819999999999997,192.0,,,,108.0
green,8143.0,27.143333333333334,285.0,,,15.0,
blue,7700.0,25.666666666666664,,138.0,162.0,,
green,3350.0,11.166666666666666,300.0,,,,
purple,3989.0,13.296666666666667,131.0,,,169.0,
yellow,7790.0,25.966666666666665,144.0,2.0,3.0,,151.0
purple,7343.0,24.476666666666667,21.0,22.0,,257.0,
purple,7758.0,25.86,,,45.0,249.0,6.0
blue,8541.0,28.470000000000002,18.0,1.0,280.0,1.0,
