winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
yellow,10137.0,33.79,78.0,31.0,58.0,42.0,91.0
yellow,10062.0,33.54,64.0,40.0,60.0,40.0,96.0
yellow,9997.0,33.32333333333333,76.0,43.0,69.0,19.0,93.0
green,11574.0,38.58,95.0,13.0,33.0,64.0,95.0
yellow,10635.0,35.449999999999996,81.0,52.0,47.0,26.0,94.0
green,11644.0,38.81333333333333,118.0,37.0,20.0,54.0,71.0
blue,8693.0,28.976666666666667,69.0,19.0,101.0,27.0,84.0
green,9646.0,32.153333333333336,94.0,9.0,88.0,24.0,85.0
yellow,9742.0,32.47333333333333,84.0,33.0,77.0,18.0,88.0
yellow,10643.0,35.47666666666667,86.0,37.0,59.0,16.0,102.0
yellow,10659.0,35.53,78.0,32.0,59.0,13.0,118.0
yellow,10307.0,34.35666666666667,77.0,50.0,55.0,23.0,95.0
yellow,10579.0,35.263333333333335,66.0,34.0,46.0,42.0,112.0
green,9948.0,33.160000000000004,101.0,18.0,65.0,48.0,68.0
yellow,11338.0,37.79333333333334,83.0,48.0,32.0,28.0,109.0
yellow,10645.0,35.483333333333334,86.0,16.0,66.0,14.0,118.0
green,10094.0,33.64666666666667,87.0,24.0,57.0,59.0,73.0
yellow,10468.0,34.89333333333333,79.0,40.0,59.0,13.0,109.0
green,9653.0,32.17666666666666,82.0,51.0,71.0,20.0,76.0
yellow,10564.0,35.21333333333334,68.0,37.0,53.0,34.0,108.0
blue,8228.0,27.426666666666666,49.0,41.0,100.0,38.0,72.0
blue,9332.0,31.106666666666666,73.0,16.0,91.0,30.0,90.0
green,10649.0,35.49666666666666,98.0,16.0,55.0,51.0,80.0
green,10611.0,35.370000000000005,97.0,35.0,54.0,31.0,83.0
green,12164.0,40.54666666666667,118.0,44.0,15.0,30.0,93.0
blue,8901.0,29.67,78.0,45.0,85.0,27.0,65.0
yellow,11344.0,37.81333333333333,78.0,46.0,37.0,16.0,123.0
green,10273.0,34.24333333333333,106.0,11.0,66.0,38.0,79.0
yellow,10272.0,34.239999999999995,78.0,56.0,61.0,9.0,96.0
green,10119.0,33.73,100.0,27.0,61.0,44.0,68.0
green,10254.0,34.18,91.0,27.0,54.0,52.0,76.0
purple,8954.0,29.846666666666664,52.0,37.0,60.0,77.0,74.0
green,10191.0,33.97,110.0,45.0,56.0,29.0,60.0
yellow,11562.0,38.54,91.0,28.0,33.0,43.0,105.0
blue,9023.0,30.076666666666668,87.0,12.0,99.0,8.0,94.0
yellow,9526.0,31.753333333333334,69.0,24.0,85.0,22.0,100.0
yellow,10498.0,34.99333333333333,87.0,41.0,55.0,12.0,105.0
green,9859.0,32.86333333333333,102.0,16.0,76.0,31.0,75.0
green,9906.0,33.019999999999996,89.0,24.0,75.0,28.0,84.0
yellow,10259.0,34.196666666666665,84.0,43.0,59.0,20.0,94.0
yellow,10677.0,35.589999999999996,88.0,37.0,53.0,29.0,93.0
green,10716.0,35.72,97.0,61.0,48.0,6.0,88.0
yellow,9689.0,32.29666666666667,71.0,42.0,80.0,5.0,102.0
green,10335.0,34.449999999999996,102.0,28.0,60.0,33.0,77.0
yellow,10652.0,35.50666666666666,76.0,71.0,40.0,29.0,84.0
