winner,wastedvotes,wastedprop (%),green,red,blue,purple,yellow
blue,3448.0,11.493333333333332,23.0,23.0,191.0,38.0,25.0
blue,3953.0,13.176666666666668,28.0,34.0,188.0,25.0,25.0
blue,4827.0,16.09,27.0,40.0,168.0,19.0,46.0
blue,4470.0,14.899999999999999,30.0,34.0,167.0,41.0,28.0
blue,4715.0,15.716666666666669,31.0,28.0,157.0,53.0,31.0
blue,4933.0,16.44333333333333,32.0,34.0,159.0,42.0,33.0
blue,4931.0,16.436666666666667,34.0,20.0,170.0,30.0,46.0
blue,3111.0,10.37,26.0,31.0,207.0,20.0,16.0
blue,4592.0,15.306666666666665,35.0,19.0,174.0,33.0,39.0
blue,3646.0,12.153333333333332,25.0,11.0,193.0,42.0,29.0
blue,4804.0,16.013333333333332,38.0,18.0,167.0,49.0,28.0
blue,4805.0,16.01666666666667,37.0,47.0,155.0,37.0,24.0
blue,3235.0,10.783333333333333,18.0,28.0,206.0,25.0,23.0
blue,4310.0,14.366666666666667,25.0,30.0,170.0,43.0,32.0
blue,3680.0,12.266666666666666,36.0,37.0,195.0,14.0,18.0
blue,4301.0,14.336666666666668,20.0,27.0,178.0,41.0,34.0
blue,5253.0,17.51,48.0,27.0,157.0,34.0,34.0
blue,3509.0,11.696666666666665,27.0,20.0,192.0,45.0,16.0
blue,4506.0,15.02,28.0,41.0,171.0,25.0,35.0
blue,4299.0,14.330000000000002,30.0,30.0,180.0,29.0,31.0
blue,4374.0,14.580000000000002,31.0,33.0,186.0,15.0,35.0
blue,4246.0,14.153333333333334,39.0,29.0,184.0,28.0,20.0
blue,4054.0,13.513333333333332,26.0,30.0,189.0,24.0,31.0
blue,4027.0,13.423333333333334,28.0,30.0,185.0,23.0,34.0
blue,3927.0,13.089999999999998,39.0,21.0,194.0,25.0,21.0
blue,3557.0,11.856666666666667,20.0,38.0,195.0,20.0,27.0
blue,4057.0,13.523333333333335,27.0,26.0,199.0,10.0,37.0
blue,4233.0,14.11,38.0,24.0,185.0,23.0,30.0
blue,2835.0,9.45,24.0,13.0,213.0,34.0,16.0
blue,6140.0,20.466666666666665,47.0,43.0,128.0,39.0,43.0
blue,3995.0,13.316666666666666,21.0,25.0,186.0,39.0,29.0
blue,3864.0,12.879999999999999,27.0,15.0,197.0,26.0,35.0
blue,5223.0,17.41,32.0,40.0,142.0,49.0,37.0
blue,3422.0,11.406666666666666,19.0,29.0,194.0,33.0,25.0
blue,4559.0,15.196666666666667,36.0,28.0,179.0,21.0,36.0
blue,4621.0,15.403333333333332,33.0,18.0,171.0,47.0,31.0
blue,3932.0,13.106666666666666,22.0,46.0,177.0,28.0,27.0
blue,4333.0,14.443333333333333,26.0,34.0,173.0,36.0,31.0
blue,5713.0,19.043333333333333,42.0,45.0,146.0,30.0,37.0
blue,4777.0,15.923333333333334,34.0,18.0,174.0,29.0,45.0
blue,4465.0,14.883333333333335,34.0,32.0,178.0,28.0,28.0
blue,3404.0,11.346666666666666,26.0,36.0,196.0,18.0,24.0
blue,4411.0,14.703333333333331,23.0,38.0,176.0,30.0,33.0
blue,4916.0,16.386666666666667,48.0,32.0,165.0,27.0,28.0
blue,4712.0,15.706666666666665,40.0,16.0,182.0,26.0,36.0
blue,4915.0,16.383333333333333,48.0,25.0,175.0,18.0,34.0
blue,5201.0,17.336666666666666,37.0,27.0,166.0,21.0,49.0
blue,3021.0,10.07,20.0,24.0,221.0,12.0,23.0
blue,3945.0,13.15,38.0,21.0,198.0,18.0,25.0
blue,4242.0,14.14,34.0,27.0,177.0,34.0,28.0
blue,2882.0,9.606666666666666,17.0,42.0,205.0,27.0,9.0
blue,4402.0,14.673333333333332,30.0,21.0,181.0,29.0,39.0
blue,4951.0,16.503333333333334,40.0,24.0,161.0,36.0,39.0
blue,3538.0,11.793333333333333,22.0,12.0,197.0,46.0,23.0
blue,4107.0,13.69,22.0,18.0,193.0,24.0,43.0
blue,3729.0,12.43,17.0,54.0,178.0,24.0,27.0
blue,5339.0,17.796666666666667,34.0,47.0,140.0,51.0,28.0
blue,4041.0,13.469999999999999,20.0,32.0,183.0,29.0,36.0
blue,4356.0,14.52,36.0,12.0,183.0,36.0,33.0
blue,3259.0,10.863333333333333,18.0,26.0,212.0,20.0,24.0
blue,4111.0,13.703333333333333,35.0,31.0,189.0,20.0,25.0
blue,4015.0,13.383333333333333,28.0,24.0,189.0,26.0,33.0
blue,3799.0,12.663333333333332,25.0,19.0,187.0,52.0,17.0
blue,4284.0,14.280000000000001,31.0,33.0,179.0,25.0,32.0
blue,5082.0,16.939999999999998,38.0,43.0,165.0,15.0,39.0
blue,3732.0,12.44,31.0,17.0,201.0,27.0,24.0
blue,4810.0,16.03333333333333,36.0,49.0,159.0,21.0,35.0
blue,3955.0,13.183333333333334,27.0,24.0,194.0,25.0,30.0
blue,4654.0,15.513333333333335,34.0,31.0,178.0,21.0,36.0
blue,3716.0,12.386666666666667,28.0,34.0,191.0,25.0,22.0
blue,3619.0,12.063333333333333,21.0,32.0,197.0,26.0,24.0
blue,4313.0,14.376666666666665,32.0,21.0,183.0,30.0,34.0
blue,3979.0,13.263333333333332,26.0,41.0,185.0,20.0,28.0
